Country,Area,Bedrooms,AssumedSizeSqm,CityCount,MedianMonthlyRentUSD,MedianPricePerSqmUSD,MedianEstimatedPurchasePriceUSD,MedianGrossRentalYieldPct
Ecuador,Outside of Centre,3,110,2,564.51,776.08,85368.8,7.9721
Egypt,City Centre,1,50,1,221.7,828.2,41410.0,6.4245
Egypt,City Centre,3,110,1,537.36,828.2,91102.0,7.0781
Egypt,Outside of Centre,1,50,1,198.25,531.64,26582.0,8.9497
Egypt,Outside of Centre,3,110,1,344.02,531.64,58480.4,7.0592
El Salvador,City Centre,1,50,1,898.99,2778.06,138903.0,7.7665
El Salvador,City Centre,3,110,1,1810.0,2778.06,305586.6,7.1076
El Salvador,Outside of Centre,1,50,1,770.0,1824.25,91212.5,10.1302
El Salvador,Outside of Centre,3,110,1,1360.0,1824.25,200667.5,8.1329
Estonia,City Centre,1,50,1,828.17,4903.55,245177.5,4.0534
Estonia,City Centre,3,110,1,1524.31,4903.55,539390.5,3.3912
Estonia,Outside of Centre,1,50,1,585.89,3267.0,163350.0,4.3041
Estonia,Outside of Centre,3,110,1,979.34,3267.0,359370.0,3.2702
Finland,City Centre,1,50,4,1036.9,5967.55,298377.25,4.1356
Finland,City Centre,3,110,4,2018.43,5967.55,656429.95,3.5718
Finland,Outside of Centre,1,50,4,844.43,3843.81,192190.5,5.3111
Finland,Outside of Centre,3,110,4,1521.02,3843.81,422819.1,4.3639
France,City Centre,1,50,10,922.21,5956.29,297814.5,3.8979
France,City Centre,3,110,10,1678.37,5956.29,655191.9,3.1602
France,Outside of Centre,1,50,10,735.14,3676.39,183819.75,4.824
France,Outside of Centre,3,110,10,1240.76,3676.39,404403.45,3.7967
Georgia,City Centre,1,50,2,584.88,2077.36,103868.25,6.7675
Georgia,City Centre,3,110,2,1110.32,2077.36,228510.15,5.8154
Georgia,Outside of Centre,1,50,2,400.97,1320.16,66008.0,7.2677
Georgia,Outside of Centre,3,110,2,798.81,1320.16,145217.6,6.57
Germany,City Centre,1,50,19,979.1,6703.18,335159.0,3.7456
Germany,City Centre,3,110,19,1848.59,6703.18,737349.8,3.3142
Germany,Outside of Centre,1,50,19,748.74,4053.41,202670.5,4.5222
Germany,Outside of Centre,3,110,19,1387.3,4053.41,445875.1,3.8472
Greece,City Centre,1,50,4,634.81,3897.23,194861.25,4.2581
Greece,City Centre,3,110,4,1107.87,3897.23,428694.75,3.4364
Greece,Outside of Centre,1,50,4,494.35,2874.5,143725.0,4.4789
Greece,Outside of Centre,3,110,4,923.35,2874.5,316195.0,3.8245
Hong Kong,City Centre,1,50,1,2247.93,29582.86,1479143.0,1.8237
Hong Kong,City Centre,3,110,1,5142.15,29582.86,3254114.6,1.8962
Hong Kong,Outside of Centre,1,50,1,1681.67,17869.71,893485.5,2.2586
Hong Kong,Outside of Centre,3,110,1,3375.49,17869.71,1965668.1,2.0607
Hungary,City Centre,1,50,2,741.68,4465.05,223252.25,4.2244
Hungary,City Centre,3,110,2,1438.7,4465.05,491154.95,3.7158
Hungary,Outside of Centre,1,50,2,568.0,3364.45,168222.75,4.0937
Hungary,Outside of Centre,3,110,2,1099.78,3364.45,370090.05,3.6199
Iceland,City Centre,1,50,1,2508.96,8064.89,403244.5,7.4663
Iceland,City Centre,3,110,1,3468.81,8064.89,887137.9,4.6921
Iceland,Outside of Centre,1,50,1,2051.54,6379.14,318957.0,7.7184
Iceland,Outside of Centre,3,110,1,2747.3,6379.14,701705.4,4.6982
India,City Centre,1,50,16,210.41,1364.07,68203.75,2.942
India,City Centre,3,110,16,471.94,1364.07,150048.25,3.5011
India,Outside of Centre,1,50,16,125.57,654.19,32709.75,3.784
India,Outside of Centre,3,110,16,286.86,654.19,71961.45,4.3499
Indonesia,City Centre,1,50,1,366.69,3011.6,150580.0,2.9222
